Hokkaido_Tohoku,2.21,2.61,2.69,2.56,2.71,2.94,2.76,,
Kanto,2.68,2.65,2.61,2.50,2.44,2.03,2.33,,
Chubu,2.77,2.79,2.58,2.86,2.58,2.66,2.78,2.65,2.49
Kinki,2.59,2.69,2.31,2.28,2.44,2.63,2.50,,
Chugoku,2.71,2.66,2.52,2.36,2.36,,,,
Shikoku,2.52,2.49,2.37,2.30,,,,,
Kyushu_Okinawa,2.35,2.80,2.57,2.57,2.41,2.40,2.27,2.63,
